MEP Code,MEP Name,RM Code,RM Name,Menge,Einheit,Type
MEP050,Avocado,4424,Avocados vollreif Hass Krt 16 STK,2,kg,rm,20
DE005,DE005,MEP032,"Pfefferminze, frisch",0.005,kg,mep,
MEP024,Pak Choi - Deko Biang Biang,828,Pak-Choi 1KG,4,KG,rm,0
MEP203,Poulet Yakitori Spiessli,35504,Poulet Yakitori Spiessli Curry FWG CH 50x35g vac. (MO-FR vorbstellen bis 15 Uhr) (aufgetaut),1.75,kg,rm,0
MEP001,Wok Mischung Vers. 2,37158,Gemüsemischung Nooch 2 - BTL à 4kg ( Bestellung bis 8.30 Uhr ),4,Kg,rm,0
MEP002,Rote Zwiebeln,36886,BRUN Zwiebeln rot Ringe 3mm 1/4 5kg,2.5,kg,rm,0
MEP006,Basilikum,987,Basilikum Thai 100g BTL (bis 15.00 Uhr),0.5,kg,rm,0
MEP007,Peperoncini,1029,Peperoncini rot 1Kg,1.5,KG,rm,0
MEP008,Gurke Salat für Moonfire,1375,Gurken pro Stück /Gewicht Gurke ca. 300-400g,1,kg,rm,0
MEP009,Peperoni gelb/rot - Beijing N./Wok,831,Peperoni rot 1kg,1.25,KG,rm,0
MEP010,Peperoni gelb/rot - Wokmischung,31518,Karotten Julienne 1.6mm 1Kg (bis 08:30 bestellen),2,KG,rm,0
MEP013,Frühlingzwiebeln - Wok 3cm.,104817,"Frühlingszwiebeln, Beutel à 500 g",0.5,kg,rm,0
MEP014,Frühlingzwiebeln - Deko fein,104817,"Frühlingszwiebeln, Beutel à 500 g",0.2,kg,rm,0
MEP015,Chinalauch,104818,Gewürzlauch Blätter / Beutel à 100g,0.5,kg,rm,0
MEP016,Wasserspinat,104845,Wasserspinat / BTL à 250g,0.5,kg,rm,0
MEP017,Papaya,12083,Gemüse Papaya Herkunft Thailand 1kg,2.5,KG,rm,0
MEP018,Rettich&Carotten,1112,Karotten gross IFC 10Kg,1.25,KG,rm,2
MEP018,Rettich&Carotten,1360,Rettich ganz STK,1.25,STK,rm,2
MEP019,Spinat fein,946,"Spinat fein, offen und ungewaschen (in 100g Einheiten bestellbar)",0.5,Kg,rm,0
MEP022,Broccoli,775,Broccoli IFC 1KG,2,KG,rm,10
MEP023,Pak Choi - Wok,828,Pak-Choi 1KG,3,KG,rm,5
MEP025,Schlangebohnen,120078,Schlangen Bohnen / BTL à 500g,0.5,Kg,rm,0
MEP028,Lollo grün gewascht,930,"Lollo grün 3kg IFCO, KG",0.5,Kg,rm,0
MEP011,Soja Sprossen,3432,Mungbohnen 1kg (Sojasprossen),1.5,kg,rm,0
MEP009,Peperoni gelb/rot - Beijing N./Wok,832,Peperoni gelb 1kg,1.25,KG,rm,0
MEP003,Limetten,1161,Limes (ab 4.5kg wird kein Anbrauch verrechnet) KRT à 4.5 Kg,2.5,kg,rm,5
MEP004,Cherry Tomaten,961,Cherry-Tomaten Schle 250g,1,kg,rm,0
MEP005,Koriander,1011,Koriander 100g Btl,0.6,Kg,rm,0
