Code,Produkte,Kategorie,Unit,Quantity,Weight/Unit (kg),Total (kg),Minimum,Maximum,Kosten/Unit (CHF),Total Wert (CHF),Lieferant,Letzte Bestellung,Notizen
-273930,Schlangen Bohnen TH 500g BTL,,BTL,,,,,,7.03,,The Asia Company SA,2026-04-01,
230,Zwiebeln rot 1KG,Wok,KG,,,,,,2.6,,Kellenberger,2026-04-01,
276,Bananen gelb/grün Nr.5 Krt à 9 KG,Wok,KG,,1,,,,2.69,,Kellenberger,,
496,"Apfel Golden-Delic. II. 65-85mm, 1kg",Wok,KG,,1,,,,1.71,,Kellenberger,,
749,Zitronen IFC 1kg,Service,KG,,1,,,,3.33,,Kellenberger,,
756,"Auberginen Krt. 6kg, KG",Wok,KG,,1,,,,2.94,,Kellenberger,,
762,Auberginen Thai weiss KG,Wok,KG,,1,,,,35.83,,Kellenberger,,
764,Blumenkohl 1kg,Wok,KG,,1,,,,5.36,,Kellenberger,,
775,Broccoli IFC 1KG,Wok,KG,,1,,,,5.79,,Kellenberger,,
783,"Chinakohl >250g < 850g IFC 7KG, 1kg",Wok,KG,,1,,,,3.46,,Kellenberger,,
794,Rotkabis gross 1KG,Sushi,KG,,,,,,2.35,,Kellenberger,2026-04-01,
806,Kefe fein (frisch) 250g Schale,Wok,SCH,,,,,,4.4,,Kellenberger,2026-04-01,
819,"Lattich IFC 2KG, KG",Wok,KG,,,,,,4.6,,Kellenberger,2026-04-01,
828,Pak-Choi 1KG,Wok,KG,,,,,,5.04,,Kellenberger,2026-04-01,
831,Peperoni rot 1kg,Nooch,KG,,1,,,,3.99,,Kellenberger,,
832,Peperoni gelb 1kg,Wok,KG,0,,,,,4.33,,Kellenberger,2026-04-01,
845,Randen roh >200g <450g,Nooch,KG,,1,,,,2.47,,Kellenberger,,
912,Cipolotti (Frühlingszwiebeln) 1 Bund ( ASIA > Nur bei Notfällen bestellen!),Nooch,BUN,,,,,,1.82,,Kellenberger,2026-04-01,
916,"Eisbergsalat Cello Krt. 5KG, KG",Nooch,KG,,1,,,,4.03,,Kellenberger,,
930,"Lollo grün 3kg IFCO, KG",Nooch,IFC,1,3,,1,2,5.25,,Kellenberger,,
939,Radieschen Bund,Sushi,BND,,,,,,1.54,,Kellenberger,,
946,"Spinat fein, offen und ungewaschen (in 100g Einheiten bestellbar)",Wok,Prt à 100 G,,,,,,0.01,,Kellenberger,2026-04-01,
961,Cherry-Tomaten Schle 250g,Nooch,SCH,0,0.25,,5,20,1.96,,Kellenberger,,Kühl lagern
987,Basilikum Thai 100g BTL (bis 15.00 Uhr),Wok,BTL,,0.1,,,,3.92,,Kellenberger,,
1002,Dill 100g,Sushi,BTL à 100 G,,0.1,,,,3,,Kellenberger,,
1011,Koriander 100g Btl,Nooch,BTL,,0.1,,,,3.75,,Kellenberger,,
1029,Peperoncini rot 1Kg,Wok,KG,,,,,,11.06,,Kellenberger,2026-04-01,
1090,Schnittlauch Hotel 100g Bund,Sushi,BND,,,,,,3.86,,Kellenberger,2026-04-01,
1112,Karotten gross IFC 10Kg,Nooch,KG,,1,,,,1.58,,Kellenberger,,
1141,Bohnen Long Beans Thai 1kg,Wok,KG,,1,,,,31.49,,Kellenberger,,
1148,Granatäpfel pro Stück,Nooch,STK,,,,,,1.68,,Kellenberger,2026-04-01,
1161,Limes (ab 4.5kg wird kein Anbrauch verrechnet) KRT à 4.5 Kg,Wok,KRT,,5,,,,18.59,,Kellenberger,,
1169,Mango angereift extra gross STK,Nooch,STK,,,,,,3.47,,Kellenberger,2026-04-01,
1178,Papaya Gemüsepapaya 4kg KRT,Wok,KRT à 4 KG,1,4,,,,83.56,,Kellenberger,,
1179,Physalis Schale 12Stk,Dessert,SCH,,,,,,2.13,,Kellenberger,2026-04-01,
1202,Zitronengras / BTL à 100g,,BTL,,,,,,1.4,,Stutzer Service AG (Frischprodukte aus Thailand 1 Woche im Voraus bestellen),2026-04-01,
1202,Zitronengras ganz (1 Woche Vorbestellung),,kg,,,,,,13.5,,The Asia Company SA,2026-04-01,
1360,Rettich ganz STK,Nooch,STK,,1,,,,2.13,,Kellenberger,,
1375,Gurken pro Stück /Gewicht Gurke ca. 300-400g,Nooch,STK,,0.4,,,,2.18,,Kellenberger,,
1700,FWG Erdnüsse gehackt 1.2kg Beutel,,BTL,,,,,,12.09,,The Asia Company SA,2026-04-01,
1702,FWG Pad Thai 2 Vegan / KRT à 10x1.2kg Beutel,,KRT à 10 BTL,,,,,,122.4,,The Asia Company SA,2026-04-01,
1703,FWG Seasoning Vegan / KRT à 10x1.2kg Beutel,,KRT à 10 BTL,,,,,,102.9,,The Asia Company SA,2026-04-01,
