id,menuCode,name,category,art,saison,gewicht,garverlust,wa,vk,deko,zubereitung,zutaten,imageUrl,logoUrl,lastUpdate
a461b372-e271-49b7-9597-9582ba7c86af,NH001,Flower Power vegi,Wok,Fried Rice,All Year,459,0,5.65,0,,,"[{""type"":""gr"",""code"":""GR001"",""name"":""GR Wok Mischung"",""gewicht"":0.13,""rohGewicht"":0.13,""garverlust"":0,""unitCost"":29.333333333333332,""cost"":3.8133333333333335},{""type"":""rm"",""code"":""351168"",""name"":""High Oleic Sonnenblumenöl 1 x 20 lt"",""gewicht"":0.02,""unitCost"":91.8,""cost"":1.836,""allergie"":"""",""zubereitung"":""""}]",https://drive.google.com/file/d/1W8wxK8A1piEcuuBIa35Kt7qqx003MWfT/view?usp=sharing,,2026-04-15T19:45:54.719Z
M-1776194711910,NH005,Beijing Night (Chicken Sweet Sour),Asiaten,Hauptgang,All Year,0.59,0,0.21,0,,"1. Schritt Poulet im Tempurateig frittieren 2. Schritt Zutaten 2. Schritt aufkochen 3. Schritt frittiertes Poulet Tempura mit Reis auf Teller anrichten, Tempura mit der Sauce napieren und ausgarnieren","[{""type"":""rm"",""code"":""POULETWÜRFEL_CH_(SWE"",""name"":""Pouletwürfel CH (sweet & sour)"",""gewicht"":""0.150"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SWEET_&_SOUR_SAUCE"",""name"":""Sweet & Sour Sauce"",""gewicht"":""0.120"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""ANANAS_STÜCKE_IN_SIR"",""name"":""Ananas Stücke in Sirup"",""gewicht"":""0.050"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""JASMINREIS_-_RICE"",""name"":""Jasminreis - rice"",""gewicht"":""0.180"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SESAM_-_BLACK_&_WHIT"",""name"":""Sesam - Black & White"",""gewicht"":0.02,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":0,""cost"":0,""allergie"":"""",""zubereitung"":"""",""isDeko"":true},{""type"":""rm"",""code"":""NOOCH_GARNITUR"",""name"":""Nooch Garnitur"",""gewicht"":1,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":0,""cost"":0,""allergie"":"""",""zubereitung"":"""",""isDeko"":true},{""type"":""gr"",""code"":""GR020"",""name"":""GR Peperoni in Öl blanchiert"",""gewicht"":0.02,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":10.4,""cost"":0.208,""allergie"":"""",""zubereitung"":"""",""isDeko"":false}]",https://mega0826.github.io/Kitchen-System/dashboard.html,,2026-04-28T19:19:05.081Z
M-1776195793597,NH010,Beef & Zen Nooch & Negishi Q3 2025,Asiaten,Hauptgang,All Year,0.531,,,,,"1. Öl in Wokpfanne erhitzen,Zwiebeln, Ingwer, Knoblauch, Sambal und Zitronengras andünsten 4. Beef und Nudeln beigeben und anbraten 5. Austernsauce, Sojasauce, Seasoningsauce, Sesamöl und Pad Thai Sauce dazu geben und mit Salz, Zucker, Bouillon würzen 6. Wokmischung beigeben und kurz mitbraten, am Schluss Sojasprossen und Frühlingszwiebeln beigeben","[{""type"":""rm"",""code"":""HIGH_OLEIC_SONNENBLU"",""name"":""High Oleic Sonnenblumenöl"",""gewicht"":""0.020"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""ROTE_ZWIEBELN"",""name"":""Rote Zwiebeln"",""gewicht"":""0.013"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""INGWER_EINGELEGT"",""name"":""Ingwer eingelegt"",""gewicht"":""0.005"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""KNOBLAUCH_EINGELEGT"",""name"":""Knoblauch eingelegt"",""gewicht"":""0.005"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""ZITRONENGRAS_EINGELE"",""name"":""Zitronengras eingelegt"",""gewicht"":""0.005"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SAMBAL_OELEK_-_FLOWE"",""name"":""Sambal Oelek - FLOWER BRAND"",""gewicht"":""0.010"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""RINDFLEISCH_MARINIER"",""name"":""Rindfleisch mariniert"",""gewicht"":""0.090"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""TAC_UDON_NUDELN_SANU"",""name"":""TAC Udon Nudeln Sanuki Style"",""gewicht"":""0.200"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""AUSTERNSAUCE_-_MAE_K"",""name"":""Austernsauce - MAE KRUA"",""gewicht"":""0.020"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""PAD_THAI_SAUCE_VEGAN"",""name"":""Pad Thai Sauce VEGAN"",""gewicht"":""0.015"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SEASONING_SAUCE_VEGA"",""name"":""Seasoning Sauce Vegan"",""gewicht"":""0.005"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SOJASAUCE_DUNKEL_GOL"",""name"":""Sojasauce dunkel Golden Superior - PEARL RIVER BRIDGE"",""gewicht"":""0.005"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SESAMÖL_-_ASIA_CUISI"",""name"":""Sesamöl - ASIA Cuisine"",""gewicht"":""0.002"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SALZ_-_JURASEL"",""name"":""Salz - JURASEL"",""gewicht"":""0.002"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""FEINKRISTALLZUCKER_-"",""name"":""Feinkristallzucker - AARBERG ZUCKER"",""gewicht"":""0.002"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""BOUILLON_GEMÜSE_(VEG"",""name"":""Bouillon Gemüse (vegi) - MAGGI"",""gewicht"":""0.020"",""unit"":""l"",""cost"":0},{""type"":""rm"",""code"":""WASSER"",""name"":""Wasser"",""gewicht"":""0.015"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""TOPPING_SHITAKE_VEGA"",""name"":""Topping Shitake Vegan TK"",""gewicht"":""0.100"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""WOK_MISCHUNG_VERS._2"",""name"":""Wok Mischung Vers. 2"",""gewicht"":""0.002"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""BASILIKUM_SÜSS_HORAP"",""name"":""Basilikum süss Horapa"",""gewicht"":""0.015"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SOJA-MUNGO"",""name"":""Soja-Mungo"",""gewicht"":""0.007"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""FRÜHLINGSZWIEBELN"",""name"":""Frühlingszwiebeln"",""gewicht"":""0.000"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""GR_NOOCH_GARNITUR"",""name"":""GR Nooch Garnitur"",""gewicht"":""1.000"",""unit"":""Stk."",""cost"":0}]",,,2026-04-14T19:43:13.598Z
M-1776196901819,VS003,Edamame deluxe Nooch & Negishi,Asiaten,Vorspeise,All Year,0.206,,,,,Edamame-Temupura und Süsskartoffel-Fries in der Fritteuse ca. 3-4 Min. bei 170°C goldgelb frittiern. gut Abtorpfen lassen und salzen. Im 13cm Bambuskorb mit Papier servieren. Dip separat in Dipschale servieren.,"[{""type"":""rm"",""code"":""BLANCHIERTE_EDAMAME"",""name"":""Blanchierte Edamame"",""gewicht"":""0.075"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""EDAMAME_TEMPURA_TEIG"",""name"":""Edamame Tempura Teig"",""gewicht"":"""",""unit"":"""",""cost"":0},{""type"":""rm"",""code"":""SWEET_POTATO_FRIES"",""name"":""Sweet Potato Fries"",""gewicht"":""0.100"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SALZ_-_JURASEL"",""name"":""Salz - JURASEL"",""gewicht"":""1.0"",""unit"":""Port"",""cost"":0},{""type"":""rm"",""code"":""CHIPOTLE_DIP_VEGAN"",""name"":""Chipotle Dip Vegan"",""gewicht"":""0.030"",""unit"":""kg"",""cost"":0}]",,,2026-04-14T20:01:41.820Z
M-1776197942595,VS002,Edamame vegan Nooch & Negishi,Asiaten,Vorspeise,All Year,0.152,0,1.63,0,Im 13cm Bambuskorb mit Papiereinlage anrichten,- Edamame in siedendem Wasser 2 Minuten aufkochen. (Alternativ 2 min. Mikrowelle mit etwas Wasser) -Im Sieb abtropfen -Salz daruntermischen. -In die Schale füllen & heiss servieren.,"[{""type"":""rm"",""code"":""8972"",""name"":""ASIAN CUSINE Edamame ganz & gekocht / KRT à 10x1kg Beutel"",""gewicht"":0.15,""unitCost"":10.8,""cost"":1.62,""allergie"":"""",""zubereitung"":""""},{""type"":""rm"",""code"":""922168"",""name"":""Meersalz grob 1 x 2,5 kg"",""gewicht"":0.001,""unitCost"":5.84,""cost"":0.00584,""allergie"":"""",""zubereitung"":""""}]",https://mega0826.github.io/Kitchen-System/dashboard.html,,2026-04-14T20:52:25.619Z
M-1776234130702,NH200,Hawaii Five-O Nooch & Negishi,Lunch,Hauptgang,All Year,1.071,,,,,Currysauce in die Pfanne geben und aufkochen. Pouletfleish und Früchte ca. 30 Sec. kochen lassen. Sojasprossen dazu geben und einmal aufkochen. Alles mit Nooch Garnitur garnieren und servieren.,"[{""type"":""rm"",""code"":""POULETGESCHNETZELTES"",""name"":""Pouletgeschnetzeltes, blanchiert"",""gewicht"":0.25,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""BARGEN_CURRYSAUCE_VE"",""name"":""Bargen Currysauce VEGAN"",""gewicht"":0.25,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""ANANAS_ST¸CKE_IN_SIR"",""name"":""Ananas St¸cke in Sirup"",""gewicht"":0.05,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""APFEL_GOLDEN"",""name"":""Apfel Golden"",""gewicht"":0.03,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""BANANEN"",""name"":""Bananen"",""gewicht"":0.03,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SOJA_SPROSSEN_SOJA-M"",""name"":""Soja Sprossen Soja-Mungo"",""gewicht"":0.18,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""JASMINREIS_-_RICE"",""name"":""Jasminreis - rice"",""gewicht"":0.002,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""SESAM_-_BLACK_&_WHIT"",""name"":""Sesam - Black & White"",""gewicht"":1,""unit"":""Stk."",""cost"":0},{""type"":""rm"",""code"":""NOOCH_GARNITUR_CURRY"",""name"":""Nooch Garnitur Curry"",""gewicht"":"""",""unit"":"""",""cost"":0}]",,,2026-04-15T06:22:10.703Z
M-1776276981198,VS010,Gyoza Chicken,Asiaten,Starter,All Year,0.154,0,0,0,,Pfanne mit Öl erhitzen und aufgetaute Gyoza auf einer Seite anbraten. Gyoza mit Wasser ablöschen und zugedeckt ca. 2 Min. garen. -> bis Wasser verdampft ist. Gegarte Gyoza mit Ponzu Sauce auf dem Teller anrichten. Mit Sesam garnieren und servieren.,"[{""type"":""rm"",""code"":""HIGH_OLEIC_SONNENBLU"",""name"":""High Oleic Sonnenblumenöl"",""gewicht"":""0.04"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""GYOZA_POULET"",""name"":""Gyoza Poulet"",""gewicht"":""0.080"",""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""WASSER"",""name"":""Wasser"",""gewicht"":""0.020"",""unit"":""l"",""cost"":0},{""type"":""rm"",""code"":""KIKKOMAN_PONZU_SAUCE"",""name"":""Kikkoman Ponzu Sauce Citrus"",""gewicht"":"""",""unit"":"""",""cost"":0},{""type"":""rm"",""code"":""SESAM_-_BLACK_&_WHIT"",""name"":""Sesam - Black & White"",""gewicht"":""0.004"",""unit"":""kg"",""cost"":0}]",https://mega0826.github.io/Kitchen-System/dashboard.html,,2026-04-15T20:02:53.133Z
M-1776281441616,VS011,Chicken Satay Sticks,Starters - Asiaten,Starter,All Year,0.205,0,1.7,3.16,"mit gehackten Erdnüssen, Chlii und Limette garnieren","Alle GR vorbereiten. Spiesschen rundherum ca. 3 min. goldgelb anbraten und abkühlen. Chili in schräge Scheiben schneiden. 1 Portion Spiessli ca. 3 Min. in der Fritteuse fertig garen. Spiessli auf dem Lollo auf den Teller geben und mit warmer Erdnusssauce übergiessen. Satay mit gehackten Erdnüssen, Chlii und Limette garnieren und servieren.
Deklaration: Lollo grün Blatt geröstet, Poulet Yakitori Spiessli Curry FWG CH (aufgetaut), Hokkaido Satay Sauce (vegan), Erdnüsse gehackt, Peperoncini rot, 1/6 Schnitz Limetten (Limes)","[{""type"":""rm"",""code"":""1700"",""name"":""FWG Erdnüsse gehackt 1.2kg Beutel"",""gewicht"":0.01,""unitCost"":12.09,""cost"":0.12090000000000001,""allergie"":"""",""zubereitung"":""""},{""type"":""mep"",""code"":""MEP007"",""name"":""Peperoncini"",""gewicht"":0.005,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":33.18,""cost"":0.1659,""allergie"":"""",""zubereitung"":""""},{""type"":""mep"",""code"":""MEP028"",""name"":""Lollo grün gewascht"",""gewicht"":0.01,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":83.2,""cost"":0.8320000000000001,""allergie"":"""",""zubereitung"":""""},{""type"":""rm"",""code"":""1771"",""name"":""FWG Hokkaido Satay Sauce 10x1.2kg"",""gewicht"":0.05,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":11.616666666666667,""cost"":0.5808333333333334,""allergie"":"""",""zubereitung"":""""}]",https://mega0826.github.io/Kitchen-System/dashboard.html,,2026-04-20T19:27:04.854Z
M-1776538935124,SS001,Avos Maki Roll,Sushi,Hauptgang,All Year,0.114,0,0.04,9.4,,"Zubereitung der Avos Maki Roll mit Sushi-Reis und Nori Blättern. 
Deklaration: Avocado, Getrocknetes Seegras, Nori Blätter PREMIUM half cut 10x250g, Zutaten Anteil (%), Herkunftsland, Produkte Spezifikation","[{""type"":""rm"",""code"":""NORI_BLÄTTER_PREMIUM"",""name"":""Nori Blätter PREMIUM half cut"",""gewicht"":0.025,""unit"":""kg"",""cost"":0},{""type"":""rm"",""code"":""4424"",""name"":""Avocados vollreif Hass Krt 16 STK"",""gewicht"":0.025,""unitCost"":1.55,""cost"":0.03875000000000001,""allergie"":"""",""zubereitung"":""""}]",https://mega0826.github.io/Kitchen-System/dashboard.html,,2026-04-18T19:10:04.510Z
439e9938-ec1d-4f86-8eee-64886589e4bb,DE010,Mochi Chocolat,Nooch,Dessert,All Year,,0,2.45,0,,,"[{""type"":""rm"",""code"":""8512"",""name"":""TILIZ Mochi Chocolat - 12x210g (6x35g Pack)"",""gewicht"":0.035,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":64.8,""cost"":2.2680000000000002,""allergie"":"""",""zubereitung"":""""},{""type"":""rm"",""code"":""340462"",""name"":""Puderzucker 10 x 500 g"",""gewicht"":0.01,""garverlust"":"""",""waTotal"":"""",""chfKgNetto"":"""",""unitCost"":18,""cost"":0.18,""allergie"":"""",""zubereitung"":""""}]",https://mega0826.github.io/Kitchen-System/dashboard.html,,2026-04-25T09:20:59.221Z
