BatchID,Code,Produced Date,Quantity,Remaining,Expiry Date,Worker
MEP001_1775393675944,MEP001,2026-04-05,1,1,2026-04-07,Boy
MEP004_1775393694387,MEP004,2026-04-05,1,1,2026-04-07,Boy
MEP007_1775393713679,MEP007,2026-04-05,1,1,2026-04-07,Zhou
MEP009_1775393729524,MEP009,2026-04-05,1,1,2026-04-07,Uthai
MEP011_1775393741855,MEP011,2026-04-05,1,1,2026-04-07,Golfi
MEP025_1775394776839,MEP025,2026-04-05,1,1,2026-04-10,Golfi
MEP002_1775395036815,MEP002,2026-04-05,1,1,2026-04-07,Golfi
MEP002_1775395037778,MEP002,2026-04-05,1,1,2026-04-07,Golfi
MEP002_1775395038396,MEP002,2026-04-05,1,1,2026-04-07,Golfi
MEP006_1775395183065,MEP006,2026-04-05,1,1,2026-04-07,Rak
MEP006_1775395183626,MEP006,2026-04-05,1,1,2026-04-07,Rak
MEP012_1775395193196,MEP012,2026-04-05,1,0,2026-04-07,Jeab
MEP012_1775395193374,MEP012,2026-04-05,1,0,2026-04-07,Jeab
MEP012_1775395197121,MEP012,2026-04-05,1,1,2026-04-07,Jeab
MEP012_1775395203104,MEP012,2026-04-05,1,1,2026-04-07,Jeab
MEP015_1775395235483,MEP015,2026-04-05,1,0,2026-04-07,Jeab
MEP015_1775395235956,MEP015,2026-04-05,1,0,2026-04-07,Jeab
MEP015_1775395236628,MEP015,2026-04-05,1,0,2026-04-07,Jeab
MEP015_1775395239633,MEP015,2026-04-05,1,0,2026-04-07,Jeab
MEP015_1775395240747,MEP015,2026-04-05,1,0,2026-04-07,Jeab
MEP001_1775395657647,MEP001,2026-04-05,1,1,2026-04-07,Ibrahim
MEP015_1775501204522,MEP015,2026-04-06,1,1,2026-04-08,Jeab
MEP015_1775592020802,MEP015,2026-04-07,1,1,2026-04-09,Aryan
