Code,Produkte,QR Code Image,Kategorie,Einheit,Prioritäte,Allergene,Lieferant,Aktiv,Notizen,Drive Link (Photo),MEP Max,GN Grösse,GN Gewicht (kg),Tages Ziel,Haltbarkeit Tag,WA
MEP001,Wok Mischung Vers. 2,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1UUEvVqr0SVJZ9GkFrWSjCRRdWYe9tDyA&sz=w400,2,GN1/1,4,4,2,
MEP002,Rote Zwiebeln,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1mkwV7vOewHdmNRUarIazvcY0NzbQk7OQ&sz=w400,3,GN1/3,2.5,3,2,
MEP003,Limetten,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1y2A3ylsWdp8aB2tTPGyzNavv0WK--wBn&sz=w400,3,GN1/3,2.5,3,2,
MEP004,Cherry Tomaten,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=12KYe-XdWWqMwj3x9S1evWbl5y5vi8fFw&sz=w400,3,GN1/6,1,3,2,4
MEP005,Koriander,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1oZBrkShXJk5rljWCXmaoAk5RZp6VEHfh&sz=w400,2,GN1/2,0.6,2,2,
MEP006,Basilikum,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1d6tFpHNdHt7d10BVzyEH0RFaYmGWjrHi&sz=w400,1,GN1/3,0.5,1,2,
MEP007,Peperoncini,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1CG_OO-WMtH3Q5g5pvpofK-91AFTuvfQv&sz=w400,2,GN1/3,1.5,2,2,
MEP008,Gurke Salat für Moonfire,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1C6XJd73SDppbVOqdqO7QD_smTOQ80I1K&sz=w400,2,GN1/6,1,2,2,
MEP009,Peperoni gelb/rot - Beijing N./Wok,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1JuyjpUs-cXxO3r89iuUbnqKP0pOIctol&sz=w400,3,GN1/2,2.5,3,2,
MEP010,Peperoni gelb/rot - Wokmischung,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1nCMo2Mvp5FceZz_jEkKGUvdZFZTMXAjF&sz=w400,2,GN1/3,2,2,2,
MEP011,Soja Sprossen,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1zccbqg4VgEkEClKUJ3LiLvyZH4Xg5j31&sz=w400,2,GN1/3,1.5,2,2,
MEP012,Karotten Julienne 1.3mm,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1cdNnv9IYkRJTQNr0AQb0-O90pzYgXDuY&sz=w400,1,GN1/2,2,1,2,
MEP013,Frühlingzwiebeln - Wok 3cm.,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1PkP5QDZsYfAC-Q69Fb7KpHHhTTJlWdtQ&sz=w400,3,GN1/6,0.5,3,2,
MEP014,Frühlingzwiebeln - Deko fein,,Gemüse,kg.,,,,,,,1,GN1/1,0.2,1,2,
MEP015,Chinalauch,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1c0xsiPBAU3TXN56VVEDWZXrbFyZO9BdI&sz=w400,3,GN1/6,0.5,0,2,
MEP016,Wasserspinat,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1Zj9oJhJNKdC13Od3qtxkmFtSQR_D7EA5&sz=w400,1.5,GN1/6,0.5,0,2,
MEP017,Papaya,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=17oLPpcbOWnvIGSDq60UMYrTxASn3FFRj&sz=w400,5,GN1/2,2.5,0,2,
MEP018,Rettich&Carotten,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1-Ft1tjGSnzyEeHij0MUJFRGS59zFdm00&sz=w400,1,GN1/2,2.5,0,2,
MEP019,Spinat fein,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=11UvUiUj98vyAFaPBe3WjnIBtGqvHnnzS&sz=w400,1,GN1/2,0.5,0,2,
MEP020,(deleted),,Gemüse,kg.,,,,,,,1,GN1/3,0.6,1,2,
MEP021,(deleted),,Gemüse,kg.,,,,,,,2,GN1/6,,,2,
MEP022,Broccoli,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1HvYYwVe6iFMHz3LuuPvtbxCE6Y862rz5&sz=w400,3,,2,0,2,
MEP023,Pak Choi - Wok,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1v6VxQl3SCVgPPesrzfzaBxI1r2idCDSC&sz=w400,3,GN1/2,3,0,2,
MEP024,Pak Choi - Deko Biang Biang,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1Ay_efWNHTZmUONw0u15bP_pkovBeiqwL&sz=w400,1,GN1/2,2,2,2,
MEP025,Schlangebohnen,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1V9fqXwUb77ij8zZRBPtcCP0C5XBD9rLN&sz=w400,2,GN1/6,0.5,4,5,
MEP026,(deleted),,Gemüse,kg.,,,,,,,2,GN1/1,2,1,2,
MEP027,,,,kg.,,,,,,,,,,,,
MEP028,Lollo grün gewascht,,Gemüse,kg.,,,,,,https://drive.google.com/thumbnail?id=1F44hBgzklMnbTCgsdgyrNss45Q362A1u&sz=w400,1,GN1/3,0.5,1,2,
MEP029,,,Gemüse,kg.,,,,,,,,,,,,
MEP030,(deleted),,Gemüse,kg.,,,,,,,2,,0.2,6,2,
MEP031,(deleted),,Deko,,,,,,,,1,GN 1/1,2,1,7,
TEST-001,(deleted),,Test,,,,,,,,5,GN1/1,3.5,10,2,
TEST-002,(deleted),,Test,,,,,,,,5,GN1/1,3.5,5,2,
ONE001,(deleted),,,,,,,,,,4,,2,5,5,
Mep026,(deleted),,Gemüse,,,,,,,,2,GN1/1,3,2,2,
MEP203,Poulet Yakitori Spiessli,,Fleisch,,,,,,,https://drive.google.com/thumbnail?id=10hs2J0sBumDxnJusCvkw1PSJRIifNChZ&sz=w400,3,GN1/3,2,3,2,
MEP050,Avocado,,Gemüse,,,,,,,,1,GN1/3,2,2,2,
